template_id,template,n_examples,ec1_top,ec1_dist
0,[C:4]-[O;H0;D2;+0:5]-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>C-C(=C)-O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C:4]-[OH;D1;+0:5],18,3,EC3:18
1,[O;H0;D1;+0:2].[OH2;D0;+0:1]>>[OH;D1;+0:1]-[OH;D1;+0:2],16,1,EC1:16
2,[C;D1;H3:1]-[C;H0;D3;+0:2]=[O;H0;D1;+0:3].[CH3;D1;+0:8]-[CH;D3;+0:9]-[c;H0;D3;+0:4]:[c:5]:[c:6]:[cH;D2;+0:7]>>[C;D1;H3:1]-[CH;D3;+0:2](-[OH;D1;+0:3])-[c;H0;D3;+0:4]1:[c:5]:[c:6]:[cH;D2;+0:7]:[cH;D2;+0:8]:[cH;D2;+0:9]:1,15,3,EC3:15
3,[O;D1;H0:1]=[C;H0;D2;+0:2]=[O;H0;D1;+0:3]>>[O;D1;H0:1]=[CH;D2;+0:2]-[OH;D1;+0:3],14,1,EC1:14
4,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:5]-[C:4]>>C-C-O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C:4]-[NH2;D1;+0:5],12,3,EC3:12
5,[C:4]-[O;H0;D2;+0:5]-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>C=C-O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C:4]-[OH;D1;+0:5],11,3,EC3:11
6,[O;H0;D1;+0:1]=[CH;D2;+0:2]-[c:3]>>[OH;D1;+0:1]-[CH2;D2;+0:2]-[c:3],10,1,EC1:10
7,[C:4]-[O;H0;D2;+0:5]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>C=C-O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C:4]-[OH;D1;+0:5],9,3,EC3:9
8,[C:2]-[OH;D1;+0:1]>>C-C(=O)-[O;H0;D2;+0:1]-[C:2],8,3,EC3:8
9,[O;D1;H0:3]=[C;H0;D2;+0:2]=[O;H0;D1;+0:1]>>[O-;H0;D1:1]-[CH;D2;+0:2]=[O;D1;H0:3],8,1,EC1:8
10,[C;D1;H3:1]-[CH;D2;+0:2]=[O;H0;D1;+0:3]>>[C;D1;H3:1]-[CH2;D2;+0:2]-[OH;D1;+0:3],7,1,EC1:7
11,[O;D1;H1:1]-[CH;D3;+0:2]-[CH;D3;+0:3]-[CH;D3;+0:11](-[O;D1;H1:12])-[CH;D3;+0:9](-[O;D1;H1:10])-[CH;D3;+0:7](-[O;D1;H1:8])-[C;H0;D3;+0:5](=[O;H0;D1;+0:6])-[OH;D1;+0:4]>>[O;D1;H1:1]-[CH2;D2;+0:2]-[C@H;D3;+0:3]1-[O;H0;D2;+0:4]-[CH;D3;+0:5](-[OH;D1;+0:6])-[C@H;D3;+0:7](-[O;D1;H1:8])-[C@@H;D3;+0:9](-[O;D1;H1:10])-[C@@H;D3;+0:11]-1-[O;D1;H1:12],7,1,EC1:7
12,[OH;D1;+0:2]-[OH;D1;+0:1]>>O-[C@@H]1-C(-[OH;D1;+0:1])-O-[C@H](-C-[OH;D1;+0:2])-[C@@H](-O)-[C@H]-1-O,6,1,EC1:6
13,[C:1]-[O;H0;D2;+0:2]-[C;H0;D3;+0:4](=[O;H0;D1;+0:5])-[CH;D3;+0:3]-[CH;D3;+0:6](-[O;D1;H1:7])-[C:8]>>[C:1]-[O;H0;D2;+0:2]-[C@H;D3;+0:3](-[CH2;D2;+0:4]-[OH;D1;+0:5])-[C@@H;D3;+0:6](-[O;D1;H1:7])-[C:8],6,1,EC1:6
14,[C:1]-[CH;D2;+0:2]=[O;H0;D1;+0:3]>>[C:1]-[CH2;D2;+0:2]-[OH;D1;+0:3],6,1,EC1:6
15,[C:2]-[OH;D1;+0:1]>>O-P(-O)(=O)-[O;H0;D2;+0:1]-[C:2],5,3,EC3:5
16,[O;D1;H0:3]=[C:2]-[OH;D1;+0:1]>>C-C-[O;H0;D2;+0:1]-[C:2]=[O;D1;H0:3],5,3,EC3:5
17,[N;D1;H2:2]-[CH2;D2;+0:1]-[C:3]-[C:4](=[O;D1;H0:5])-[O;D1;H1:6]>>O-C(=O)-[C@@H;D3;+0:1](-[N;D1;H2:2])-[C:3]-[C:4](=[O;D1;H0:5])-[O;D1;H1:6],5,4,EC4:5
18,[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:8](-[#8:7])(=[O;D1;H0:9])-[O;D1;H1:10].[#8:4]-[P;H0;D4;+0:3](=[O;D1;H0:5])(-[O;D1;H1:6])-[OH;D1;+0:11]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](-[#8:4])(=[O;D1;H0:5])-[O;D1;H1:6].[#8:7]-[P;H0;D4;+0:8](=[O;D1;H0:9])(-[O;D1;H1:10])-[OH;D1;+0:11],5,2,EC2:5
19,[#15:2]-[OH;D1;+0:1]>>O-P(-O)(=O)-[O;H0;D2;+0:1]-[#15:2],4,3,EC3:4
20,[O;D1;H0:1]=[C;H0;D3;+0:2]-[OH;D1;+0:3]>>[O;D1;H0:1]=[C;H0;D2;+0:2]=[O;H0;D1;+0:3],4,4,EC4:4
21,[C:2]-[C;H0;D3;+0:1]-[C:3](=[O;D1;H0:4])-[O;D1;H1:5]>>N-[C@@H;D3;+0:1](-[C:2])-[C:3](=[O;D1;H0:4])-[O;D1;H1:5],4,1,EC1:4
22,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[O;H0;D2;+0:5]-[C:4]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C:4]-[OH;D1;+0:5],4,3,EC3:4
23,[CH3;D1;+0:6]-[CH;D2;+0:5]=[O;H0;D1;+0:4].[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:8]-[C:7]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:4]-[CH;D2;+0:5]=[CH2;D1;+0:6].[C:7]-[OH;D1;+0:8],4,3,EC3:4
24,[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:7]-[C:6].[OH;D1;+0:4]-[c:5]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:4]-[c:5].[C:6]-[OH;D1;+0:7],4,3,EC3:4
25,[C:5]=[C:4]-[C:2](=[O;D1;H0:3])-[OH;D1;+0:1]>>C-C-[O;H0;D2;+0:1]-[C:2](=[O;D1;H0:3])-[C:4]=[C:5],4,3,EC3:4
26,[C;D1;H3:2]-[CH;D2;+0:1]=[O;D1;H0:3]>>C=C-O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3],4,3,EC3:4
27,[C:6]-[O;H0;D2;+0:7]-[C;H0;D3;+0:2](-[C;D1;H3:1])=[O;D1;H0:3].[OH;D1;+0:4]-[c:5]>>[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:4]-[c:5].[C:6]-[OH;D1;+0:7],4,3,EC3:4
28,[C;D1;H3:1]-[CH;D3;+0:2](-[OH;D1;+0:3])-[C;H0;D3;+0:4]=[O;D1;H0:5].[OH;D1;+0:6]>>[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[C;H0;D3;+0:4](=[O;D1;H0:5])-[OH;D1;+0:6],3,2,EC2:3
29,[O;D1;H1:1]-[CH;D3;+0:2](-[CH2;D2;+0:3]-[O;D1;H1:4])-[CH;D3;+0:5](-[O;D1;H1:6])-[CH;D3;+0:8](-[O;D1;H1:9])-[CH;D3;+0:7]-[#8:10]-[C;H0;D3;+0:11]=[O;H0;D1;+0:12]>>[O;D1;H1:1]-[C@@H;D3;+0:2]1-[C@@H;D3;+0:3](-[O;D1;H1:4])-[C@H;D3;+0:5](-[O;D1;H1:6])-[C@@H;D3;+0:7](-[CH2;D2;+0:8]-[O;D1;H1:9])-[#8:10]-[CH;D3;+0:11]-1-[OH;D1;+0:12],3,1,EC1:3
30,[#8:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[CH;D3;+0:4](-[O;D1;H1:5])-[C:6]>>[#8:1]-[C@H;D3;+0:2](-C-[OH;D1;+0:3])-[C@H;D3;+0:4](-[O;D1;H1:5])-[C:6],3,1,EC1:3
31,[OH2;D0;+0:1]>>O-[OH;D1;+0:1],3,1,EC1:3
32,[C:1]=[C:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;H0;D1;+0:5]>>[C:1]=[C:2]-[CH;D3;+0:3](-[C;D1;H3:4])-[OH;D1;+0:5],3,1,EC1:3
33,[C:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[C:4]>>[C:1]-[CH;D3;+0:2](-[OH;D1;+0:3])-[C:4],3,1,EC1:3
34,[OH;D1;+0:1]-[c:2]>>C-C-C-C-C(=O)-[O;H0;D2;+0:1]-[c:2],3,3,EC3:3
35,[C:4]-[NH;D2;+0:5]-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>C-C-O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C:4]-[NH2;D1;+0:5],3,3,EC3:3
36,[#15:1]-[OH;D1;+0:2].[C:7]-[O;H0;D2;+0:8]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](=[O;D1;H0:4])(-[O;D1;H1:5])-[O;D1;H1:6].[C:7]-[OH;D1;+0:8],3,2,EC2:3
37,[O;D1;H0:3]=[C:2]-[OH;D1;+0:1].[O;D1;H0:6]=[C:5]-[OH;D1;+0:4]>>C-C-[O;H0;D2;+0:1]-[C:2]=[O;D1;H0:3].C-C-[O;H0;D2;+0:4]-[C:5]=[O;D1;H0:6],3,3,EC3:3
38,[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4]>>[C:1]-[CH;D3;+0:2](-[C:3])-[OH;D1;+0:4],3,1,EC1:3
39,[C:1]-[CH2;D2;+0:2]-[OH;D1;+0:3]>>[C:1]-[CH;D2;+0:2]=[O;H0;D1;+0:3],3,1,EC1:3
40,[C:4]-[NH;D2;+0:5]-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>C-C(-C)-O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C:4]-[NH2;D1;+0:5],3,3,EC3:3
41,[C:1]-[C@H;D3;+0:2](-[C;D1;H3:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[O;H0;D1;+0:4],3,1,EC1:3
42,[C;H0;D3;+0:2]=[O;H0;D1;+0:3].[CH3;D1;+0:8].[CH3;D1;+0:1]-[CH;D3;+0:9]-[c;H0;D3;+0:4]:[c:5]:[c:6]:[cH;D2;+0:7]>>[CH3;D1;+0:1]-[CH;D3;+0:2](-[OH;D1;+0:3])-[c;H0;D3;+0:4]1:[c:5]:[c:6]:[cH;D2;+0:7]:[cH;D2;+0:8]:[cH;D2;+0:9]:1,3,3,EC3:3
43,[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[C@@H;D3;+0:4]-[CH2;D2;+0:5]-[c:6]>>[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[CH;D2;+0:4]=[CH;D2;+0:5]-[c:6],3,4,EC4:3
44,[C;D1;H3:1]-[CH;D3;+0:2](-[OH;D1;+0:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6]>>[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[C:4](=[O;D1;H0:5])-[O;D1;H1:6],3,1,EC1:3
45,[O;D1;H1:1]-[CH;D3;+0:2](-[OH;D1;+0:6])-[CH;D3;+0:3]-[CH;D3;+0:11](-[O;D1;H1:12])-[CH;D3;+0:9](-[O;D1;H1:10])-[CH;D3;+0:7](-[O;D1;H1:8])-[C;H0;D3;+0:5](=[O;H0;D1;+0:14])-[OH;D1;+0:4].[OH;D1;+0:13]>>[O;D1;H1:1]-[CH2;D2;+0:2]-[C@H;D3;+0:3]1-[O;H0;D2;+0:4]-[CH;D3;+0:5](-[OH;D1;+0:6])-[C@H;D3;+0:7](-[O;D1;H1:8])-[C@@H;D3;+0:9](-[O;D1;H1:10])-[C@@H;D3;+0:11]-1-[O;D1;H1:12].[O;H0;D1;+0:13]=[O;H0;D1;+0:14],2,1,EC1:2
46,[C:1]-[C@H;D3;+0:2]-[C:4]-[O;H0;D2;+0:5].[O;H0;D1;+0:3]>>[C:1]-[C@@H;D3;+0:2](-[OH;D1;+0:3])-[C:4]-[OH;D1;+0:5],2,2,EC2:2
47,[C;D1;H3:1]-[C;H0;D3;+0:2]=[O;D1;H0:3]>>[C;D1;H3:1]-[CH;D2;+0:2]=[O;D1;H0:3],2,4,EC4:2
48,[C;D1;H3:1]-[CH;D3;+0:2]-[OH;D1;+0:3]>>[C;D1;H3:1]-[CH;D2;+0:2]=[O;H0;D1;+0:3],2,4,EC4:2
49,[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:6]-[C@H;D3;+0:5](-[C;D1;H3:4])-[c:7]>>C-C-O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C;D1;H3:4]-[CH;D3;+0:5](-[NH2;D1;+0:6])-[c:7],2,3,EC3:2
50,[C:1]-[CH2;D2;+0:2]-[N;D1;H2:3].[O;D1;H0:5]=[C;H0;D2;+0:4]=[O;H0;D1;+0:6]>>[C:1]-[C@H;D3;+0:2](-[N;D1;H2:3])-[C;H0;D3;+0:4](=[O;D1;H0:5])-[OH;D1;+0:6],2,4,EC4:2
51,[O;D1;H0:1]=[CH;D2;+0:2]-[OH;D1;+0:3]>>[O;D1;H0:1]=[C;H0;D2;+0:2]=[O;H0;D1;+0:3],2,1,EC1:2
52,[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[CH2;D2;+0:4]-[C@@H;D3;+0:5]-[C:6](=[O;D1;H0:7])-[O;D1;H1:8]>>[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[CH;D2;+0:4]=[CH;D2;+0:5]-[C:6](=[O;D1;H0:7])-[O;D1;H1:8],2,4,EC4:2
53,[C:1]-[O;H0;D2;+0:2]-[C;H0;D3;+0:4](=[O;H0;D1;+0:10])-[CH;D3;+0:3](-[OH;D1;+0:5])-[CH;D3;+0:6](-[O;D1;H1:7])-[C:8].[OH;D1;+0:9]>>[C:1]-[O;H0;D2;+0:2]-[C@H;D3;+0:3](-[CH2;D2;+0:4]-[OH;D1;+0:5])-[C@@H;D3;+0:6](-[O;D1;H1:7])-[C:8].[O;H0;D1;+0:9]=[O;H0;D1;+0:10],2,1,EC1:2
54,[C:2]-[C;H0;D3;+0:1]-[C:3](=[O;D1;H0:4])-[O;D1;H1:5]>>N-[CH;D3;+0:1](-[C:2])-[C:3](=[O;D1;H0:4])-[O;D1;H1:5],2,1,EC1:2
55,[C;D1;H3:6]-[CH2;D2;+0:5]-[C;H0;D3;+0:1](=[O;H0;D1;+0:7])-[C:2](=[O;D1;H0:3])-[O;D1;H1:4]>>N-[C@H;D3;+0:1](-[C:2](=[O;D1;H0:3])-[O;D1;H1:4])-[C@@H;D3;+0:5](-[C;D1;H3:6])-[OH;D1;+0:7],2,4,EC4:2
56,[O;D1;H0:5]=[C:4]-[#8:3]-[CH;D3;+0:2](-[c;H0;D3;+0:1])-[C;H0;D3;+0:7](=[O;D1;H0:6])-[c:8].[O;D1;H1:10]-[CH;D3;+0:9]-[c:11]>>F-[C;H0;D4;+0:1](-F)(-F)-[CH2;D2;+0:2]-[#8:3]-[C:4]=[O;D1;H0:5].[O;D1;H0:6]=[C;H0;D3;+0:7](-[c:8])-[CH;D3;+0:9](-[O;D1;H1:10])-[c:11],2,3,EC3:2
57,[C:1]-[CH;D3;+0:2]-[C:3]>>[C:1]-[CH2;D2;+0:2]-[C:3],2,1,EC1:2
58,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[O;H0;D2;+0:7]-[C:6]-[C:5]=[O;D1;H0:4]>>C=C-C-O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[O;D1;H0:4]=[C:5]-[C:6]-[OH;D1;+0:7],2,3,EC3:2
59,[CH2;D2;+0:7]-[C:8]-[C:9](-[O;H0;D2;+0:10])-[C:4](-[N+;H0;D3:2]-[O;-;D1;H0:1])-[CH2;D2;+0:5].[CH3;D1;+0:6].[O;H0;D1;+0:3]>>[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;H0;D1;+0:3])-[C:4]1-[CH2;D2;+0:5]-[CH2;D2;+0:6]-[CH2;D2;+0:7]-[C:8]-[C:9]-1-[OH;D1;+0:10],2,3,EC3:2
60,[CH3;D1;+0:5].[N;H0;D3;+0:1]-[C:2]-[c:3]:[cH;D2;+0:4].[c:7]:[cH;D2;+0:6]>>[NH2;D1;+0:1]-[C:2]-[c:3]:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[c:7],2,3,EC3:2
61,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:5]-[C:4]>>Cl-c1:c:c:c(-O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]):c:c:1.[C:4]-[NH2;D1;+0:5],2,3,EC3:2
62,[CH3;D1;+0:5].[NH;D2;+0:1]-[C:2]-[c;H0;D3;+0:3]:[c:4].[c:7]:[cH;D2;+0:6]>>[NH2;D1;+0:1]-[C:2]-[c;H0;D3;+0:3](:[c:4]):[cH;D2;+0:5]:[cH;D2;+0:6]:[c:7],2,3,EC3:2
63,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:7]-[C:6]-[C:5]#[C;D1;H1:4]>>C-O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C;D1;H1:4]#[C:5]-[C:6]-[NH2;D1;+0:7],2,3,EC3:2
64,[CH2;D2;+0:1]-[CH;D3;+0:2]-[c:3]>>[CH2;D1;+0:1]=[CH;D2;+0:2]-[c:3],2,1,EC1:2
65,[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[CH2;D2;+0:4]-[C@@H;D3;+0:5]-[C:6](=[O;D1;H0:7])-[O;D1;H1:8]>>[O;D1;H0:1]=[C:2](-[O;D1;H1:3])/[CH;D2;+0:4]=[CH;D2;+0:5]\[C:6](=[O;D1;H0:7])-[O;D1;H1:8],2,4,EC4:2
66,[O;H0;D1;+0:1]=[O;H0;D1;+0:2]>>[OH;D1;+0:1]-[OH;D1;+0:2],2,1,EC1:2
67,[C:4]-[NH;D2;+0:5]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>Cl-c1:c:c:c(-O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]):c:c:1.[C:4]-[NH2;D1;+0:5],2,3,EC3:2
68,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:5]-[C:4]>>C-O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C:4]-[NH2;D1;+0:5],2,3,EC3:2
69,[C:5]-[O;H0;D2;+0:6]-[P;H0;D4;+0:2](=[O;D1;H0:3])(-[O;D1;H1:4])-[OH;D1;+0:1]>>N-c1:n:c:n:c2:c:1:n:c:n:2-[C@H]1-O-[C@H](-C-O-P(-O)(=O)-[O;H0;D2;+0:1]-[P;H0;D4;+0:2](=[O;D1;H0:3])(-[O;D1;H1:4])-O-P(-O)(-O)=O)-[C@@H](-O)-[C@@H]-1-O.[C:5]-[OH;D1;+0:6],2,2,EC2:2
70,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[O;H0;D2;+0:5]-[C:4]>>C=C-O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C:4]-[OH;D1;+0:5],2,3,EC3:2
71,[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[O;H0;D2;+0:5]-[O;D1;H1:4]>>C-C-O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[O;D1;H1:4]-[OH;D1;+0:5],2,3,EC3:2
72,[CH3;D1;+0:1]-[OH;D1;+0:2]>>[CH2;D1;+0:1]=[O;H0;D1;+0:2],2,1,EC1:2
73,[#7:3]-[C;H0;D3;+0:4](=[O;H0;D1;+0:1])-[c;H0;D3;+0:7](:[c:8]):[cH;D2;+0:2]:[cH;D2;+0:5]:[c:6]>>C-C(=[O;H0;D1;+0:1])-O-[CH2;D2;+0:2]-C=C.[#7:3]-[c;H0;D3;+0:4](:[cH;D2;+0:5]:[c:6]):[cH;D2;+0:7]:[c:8],2,3,EC3:2
74,[#8:1]-[P;H0;D4;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:4].[OH;D1;+0:5]>>[#8:1]-[P;H0;D4;+0:2](=[O;D1;H0:3])(-[OH;D1;+0:4])-[OH;D1;+0:5],2,2,EC2:2
75,[#15:1]-[O;H0;D2;+0:2].[#8:4]-[P;H0;D4;+0:3](=[O;D1;H0:5])-[O;D1;H1:6]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](-[#8:4])(=[O;D1;H0:5])-[O;D1;H1:6],2,2,EC2:2
76,[#8:1]-[P;H0;D4;+0:2]=[O;H0;D1;+0:4].[O;H0;D1;+0:3].[O;H0;D2;+0:5]>>[#8:1]-[P;H0;D4;+0:2](=[O;H0;D1;+0:3])(-[OH;D1;+0:4])-[OH;D1;+0:5],2,6,EC6:1;EC2:1
77,[C;D1;H3:6]-[CH2;D2;+0:5]-[C;H0;D3;+0:1](=[O;H0;D1;+0:7])-[C:2](=[O;D1;H0:3])-[O;D1;H1:4]>>N-[C@H;D3;+0:1](-[C:2](=[O;D1;H0:3])-[O;D1;H1:4])-[C@H;D3;+0:5](-[C;D1;H3:6])-[OH;D1;+0:7],2,4,EC4:2
78,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[O;H0;D2;+0:5]-[C:4]>>C-C-O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C:4]-[OH;D1;+0:5],2,3,EC3:2
79,[C;H0;D3;+0:2]=[O;D1;H0:1].[OH;D1;+0:3]>>[O;D1;H0:1]=[C;H0;D2;+0:2]=[O;H0;D1;+0:3],2,1,EC1:2
80,[C:4]-[C@H;D3;+0:5](-[C;D1;H3:6])-[NH;D2;+0:7]-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>C=C-O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C:4]-[CH;D3;+0:5](-[C;D1;H3:6])-[NH2;D1;+0:7],2,3,EC3:2
81,[C:1]-[NH;D2;+0:2]-[C;H0;D3;+0:5](-[C:6])=[O;D1;H0:7].[C:3]-[OH;D1;+0:4]>>[C:1]-[NH2;D1;+0:2].[C:3]-[O;H0;D2;+0:4]-[C;H0;D3;+0:5](-[C:6])=[O;D1;H0:7],2,3,EC3:2
82,[C:1]-[C;H0;D3;+0:2]=[O;D1;H0:3].[C:5]-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:4]-[C:5],2,3,EC3:2
